Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9712952,1.446655,4.978177
LeftLowerArm,-1.07919,1.188457,4.994365
LeftHand,-1.275618,1.261591,5.119466
RightUpperArm,-0.6448452,1.435668,5.008804
RightLowerArm,-0.5569317,1.169695,5.018881
RightHand,-0.3701423,1.229658,5.164104
