Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9649259,1.467479,4.986856
LeftLowerArm,-1.248651,1.450581,4.998571
LeftHand,-1.270812,1.675284,5.091501
RightUpperArm,-0.6451135,1.457192,4.997365
RightLowerArm,-0.3685807,1.414307,5.048502
RightHand,-0.3523671,1.639102,5.143616
