Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9735653,1.467581,5.023877
LeftLowerArm,-1.083283,1.209602,5.008124
LeftHand,-1.32486,1.209116,5.047959
RightUpperArm,-0.6381236,1.453917,5.040633
RightLowerArm,-0.5720402,1.18111,5.03358
RightHand,-0.3378331,1.178643,5.104918
