Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9622195,1.477864,4.988166
LeftLowerArm,-1.238212,1.440538,4.96318
LeftHand,-1.473021,1.452888,5.025339
RightUpperArm,-0.6390339,1.472112,5.024734
RightLowerArm,-0.3654216,1.414691,5.030217
RightHand,-0.1422868,1.441023,5.123384
