Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9797487,1.474535,5.02577
LeftLowerArm,-1.234043,1.542549,5.127692
LeftHand,-1.007272,1.487618,5.201438
RightUpperArm,-0.6366511,1.467622,5.004723
RightLowerArm,-0.3802696,1.518615,5.111251
RightHand,-0.6032877,1.48506,5.205529
