Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9692682,1.440516,4.989208
LeftLowerArm,-1.114008,1.271692,5.161241
LeftHand,-1.010788,1.492847,5.169637
RightUpperArm,-0.6282815,1.43686,5.023637
RightLowerArm,-0.5073853,1.264057,5.209567
RightHand,-0.5973886,1.488145,5.172726
