Bone,PosX,PosY,PosZ
LeftUpperArm,-0.9767148,1.470744,4.990697
LeftLowerArm,-1.215715,1.525384,5.126603
LeftHand,-0.9817985,1.477608,5.175019
RightUpperArm,-0.630654,1.460847,4.987491
RightLowerArm,-0.3923548,1.481719,5.133628
RightHand,-0.6326476,1.485641,5.172703
