Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.1378499,0.2332736,0.525676,0.8063781
LeftLowerArm,0.925423,0.05539889,-0.08684345,0.3646663
LeftHand,-0.1831962,-0.1606264,-0.1743308,0.9540687
RightUpperArm,-0.1565816,-0.3197389,-0.5303318,-0.7694138
RightLowerArm,0.9122467,0.06251337,-0.1092554,0.3898224
RightHand,-0.1748341,-0.1625674,-0.2082297,0.9484964
