Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.1784635,-0.1346624,0.690828,0.6875853
LeftLowerArm,0.6580729,-0.1697106,-0.08971948,0.7280719
LeftHand,0.2484941,-0.3411033,0.08999499,0.9021088
RightUpperArm,-0.185368,0.05588123,-0.7276812,-0.6580245
RightLowerArm,0.6955717,-0.1294772,-0.133089,0.6940483
RightHand,0.1131557,-0.3511128,0.1236906,0.9212037
