Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,-0.02347656,0.4027397,0.6843032,0.6074362
LeftLowerArm,0.6314734,0.2108854,-0.3319609,0.6682596
LeftHand,-0.1257416,-0.2258821,-0.3120619,0.9142121
RightUpperArm,0.01443096,-0.3986856,-0.6992916,-0.5931549
RightLowerArm,0.652274,0.1850549,-0.3588248,0.6415124
RightHand,-0.1285776,-0.2478911,-0.2952916,0.9136853
