Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.07792947,0.2170267,0.9463657,0.2263149
LeftLowerArm,0.4977145,0.1409219,-0.3199,0.7937791
LeftHand,-0.2006882,-0.2791077,-0.5436245,0.7656994
RightUpperArm,-0.04806194,-0.1788624,-0.9547061,-0.2328831
RightLowerArm,0.5185018,0.1286483,-0.3554914,0.7669626
RightHand,-0.1714069,-0.3148246,-0.4792938,0.8011134
