Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,-0.05494036,0.133457,0.9660105,0.2144631
LeftLowerArm,0.6091976,0.4461007,-0.1987752,0.6247888
LeftHand,-0.05868984,-0.0195215,-0.2622582,0.9630135
RightUpperArm,0.05216035,-0.09199949,-0.9815888,-0.1590556
RightLowerArm,0.6787968,0.4301181,-0.1950127,0.5623198
RightHand,-0.01593291,0.01124632,-0.2393064,0.9707482
