Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.1803706,0.190212,0.567765,0.7803388
LeftLowerArm,0.9348013,0.02300103,-0.1117565,0.3363452
LeftHand,-0.1759341,-0.215038,-0.2573821,0.9255055
RightUpperArm,-0.1849607,-0.2373718,-0.580865,-0.7563333
RightLowerArm,0.9171458,0.01006026,-0.1726456,0.3590765
RightHand,-0.1526695,-0.2551291,-0.2895468,0.9098153
