Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.2226405,0.4311186,0.7879868,0.3790049
LeftLowerArm,0.8792886,0.09508903,-0.2899648,0.3656912
LeftHand,-0.2766919,-0.2555842,-0.2410262,0.8944409
RightUpperArm,-0.2519088,-0.4191681,-0.784785,-0.3807263
RightLowerArm,0.8999621,0.09400981,-0.2723251,0.3272146
RightHand,-0.2966239,-0.2685063,-0.2277457,0.8877221
