Bone,RotX,RotY,RotZ,RotW
LeftUpperArm,0.05305255,0.1999463,0.7833839,0.586103
LeftLowerArm,0.1380676,0.04958586,-0.09414219,0.9846907
LeftHand,-0.04092651,-0.4049088,0.04017372,0.9125568
RightUpperArm,-0.06182463,-0.2944236,-0.7069995,-0.6400346
RightLowerArm,0.1302946,0.0846462,-0.08464471,0.9842224
RightHand,-0.04962885,-0.3712225,0.0001704282,0.9272168
